Rank;TZ;DAIO;Yr;mvts
Base;Azerbaijan;I;2011;4603
Base;Azerbaijan;I;2012;5046
Base;Azerbaijan;I;2013;4362
Base;Azerbaijan;I;2014;5644
Base;Azerbaijan;I;2015;5485
Base;Azerbaijan;I;2016;6644
Base;Azerbaijan;I;2017;5643
Base;Azerbaijan;I;2018;5205
Base;Azerbaijan;I;2019;5278
Base;Azerbaijan;I;2020;1733
Base;Azerbaijan;I;2021;4187
Base;Azerbaijan;I;2022;6090
Base;Azerbaijan;I;2023;6440,264304
Base;Azerbaijan;I;2024;6766,874931
Base;Azerbaijan;I;2025;6961,22379
Base;Azerbaijan;I;2026;7169,362695
Base;Azerbaijan;I;2027;7384,45547
Base;Azerbaijan;I;2028;7626,088357
Base;Azerbaijan;I;2029;7834,484891
Base;Azerbaijan;TI;2010;2943
Base;Azerbaijan;TI;2011;4603
Base;Azerbaijan;TI;2012;5046
Base;Azerbaijan;TI;2013;4362
Base;Azerbaijan;TI;2014;5644
Base;Azerbaijan;TI;2015;5485
Base;Azerbaijan;TI;2016;6644
Base;Azerbaijan;TI;2017;5643
Base;Azerbaijan;TI;2018;5205
Base;Azerbaijan;TI;2019;5278
Base;Azerbaijan;TI;2020;1733
Base;Azerbaijan;TI;2021;4187
Base;Azerbaijan;TI;2022;6090
Base;Azerbaijan;TI;2023;6440,264304
Base;Azerbaijan;TI;2024;6766,874931
Base;Azerbaijan;TI;2025;6961,22379
Base;Azerbaijan;TI;2026;7169,362695
Base;Azerbaijan;TI;2027;7384,45547
Base;Azerbaijan;TI;2028;7626,088357
Base;Azerbaijan;TI;2029;7834,484891
Base;Azerbaijan;AD;2010;37462
Base;Azerbaijan;AD;2011;41104
Base;Azerbaijan;AD;2012;42263
Base;Azerbaijan;AD;2013;43713
Base;Azerbaijan;AD;2014;43947
Base;Azerbaijan;AD;2015;40614
Base;Azerbaijan;AD;2016;41854
Base;Azerbaijan;AD;2017;47902
Base;Azerbaijan;AD;2018;49703
Base;Azerbaijan;AD;2019;50608
Base;Azerbaijan;AD;2020;23150
Base;Azerbaijan;AD;2021;29485
Base;Azerbaijan;AD;2022;48028
Base;Azerbaijan;AD;2023;56183,45262
Base;Azerbaijan;AD;2024;63391,49969
Base;Azerbaijan;AD;2025;65165,13553
Base;Azerbaijan;AD;2026;67070,9427
Base;Azerbaijan;AD;2027;68977,91517
Base;Azerbaijan;AD;2028;71049,50882
Base;Azerbaijan;AD;2029;72899,38501
Base;Azerbaijan;TAD;2010;37462
Base;Azerbaijan;TAD;2011;41104
Base;Azerbaijan;TAD;2012;42263
Base;Azerbaijan;TAD;2013;43713
Base;Azerbaijan;TAD;2014;43947
Base;Azerbaijan;TAD;2015;40614
Base;Azerbaijan;TAD;2016;41854
Base;Azerbaijan;TAD;2017;47902
Base;Azerbaijan;TAD;2018;49703
Base;Azerbaijan;TAD;2019;50608
Base;Azerbaijan;TAD;2020;23150
Base;Azerbaijan;TAD;2021;29485
Base;Azerbaijan;TAD;2022;48028
Base;Azerbaijan;TAD;2023;56183,45262
Base;Azerbaijan;TAD;2024;63391,49969
Base;Azerbaijan;TAD;2025;65165,13553
Base;Azerbaijan;TAD;2026;67070,9427
Base;Azerbaijan;TAD;2027;68977,91517
Base;Azerbaijan;TAD;2028;71049,50882
Base;Azerbaijan;TAD;2029;72899,38501
Base;Azerbaijan;O;2010;79784
Base;Azerbaijan;O;2011;77882
Base;Azerbaijan;O;2012;82997
Base;Azerbaijan;O;2013;80515
Base;Azerbaijan;O;2014;77430
Base;Azerbaijan;O;2015;82758
Base;Azerbaijan;O;2016;86967
Base;Azerbaijan;O;2017;88108
Base;Azerbaijan;O;2018;96618
Base;Azerbaijan;O;2019;87203
Base;Azerbaijan;O;2020;43832
Base;Azerbaijan;O;2021;47107
Base;Azerbaijan;O;2022;116421
Base;Azerbaijan;O;2023;161090,2576
Base;Azerbaijan;O;2024;188077,407
Base;Azerbaijan;O;2025;191019,1008
Base;Azerbaijan;O;2026;194533,191
Base;Azerbaijan;O;2027;198082,7739
Base;Azerbaijan;O;2028;201907,1974
Base;Azerbaijan;O;2029;205147,4345
Base;Azerbaijan;TO;2010;79784
Base;Azerbaijan;TO;2011;77882
Base;Azerbaijan;TO;2012;82997
Base;Azerbaijan;TO;2013;80515
Base;Azerbaijan;TO;2014;77430
Base;Azerbaijan;TO;2015;82758
Base;Azerbaijan;TO;2016;86967
Base;Azerbaijan;TO;2017;88108
Base;Azerbaijan;TO;2018;96618
Base;Azerbaijan;TO;2019;87203
Base;Azerbaijan;TO;2020;43832
Base;Azerbaijan;TO;2021;47107
Base;Azerbaijan;TO;2022;116421
Base;Azerbaijan;TO;2023;161090,2576
Base;Azerbaijan;TO;2024;188077,407
Base;Azerbaijan;TO;2025;191019,1008
Base;Azerbaijan;TO;2026;194533,191
Base;Azerbaijan;TO;2027;198082,7739
Base;Azerbaijan;TO;2028;201907,1974
Base;Azerbaijan;TO;2029;205147,4345
Base;Azerbaijan;T;2010;120189
Base;Azerbaijan;T;2011;123589
Base;Azerbaijan;T;2012;130306
Base;Azerbaijan;T;2013;128590
Base;Azerbaijan;T;2014;127021
Base;Azerbaijan;T;2015;128857
Base;Azerbaijan;T;2016;135465
Base;Azerbaijan;T;2017;141653
Base;Azerbaijan;T;2018;151526
Base;Azerbaijan;T;2019;143089
Base;Azerbaijan;T;2020;68715
Base;Azerbaijan;T;2021;80779
Base;Azerbaijan;T;2022;170539
Base;Azerbaijan;T;2023;223713,9746
Base;Azerbaijan;T;2024;258235,7817
Base;Azerbaijan;T;2025;263145,4601
Base;Azerbaijan;T;2026;268773,4964
Base;Azerbaijan;T;2027;274445,1446
Base;Azerbaijan;T;2028;280582,7946
Base;Azerbaijan;T;2029;285881,3044
Base;Belarus;I;2023;8,644636503
Base;Belarus;I;2024;16,00125467
Base;Belarus;I;2025;15,93729378
Base;Belarus;I;2026;15,87489637
Base;Belarus;I;2027;15,80002399
Base;Belarus;I;2028;15,73352562
Base;Belarus;I;2029;15,64418048
Base;Belarus;TI;2023;8,644636503
Base;Belarus;TI;2024;16,00125467
Base;Belarus;TI;2025;15,93729378
Base;Belarus;TI;2026;15,87489637
Base;Belarus;TI;2027;15,80002399
Base;Belarus;TI;2028;15,73352562
Base;Belarus;TI;2029;15,64418048
Base;Belarus;AD;2023;7657,432995
Base;Belarus;AD;2024;8449,582732
Base;Belarus;AD;2025;8645,355226
Base;Belarus;AD;2026;8918,368334
Base;Belarus;AD;2027;9202,068415
Base;Belarus;AD;2028;9536,495034
Base;Belarus;AD;2029;9831,430936
Base;Belarus;TAD;2023;7657,432995
Base;Belarus;TAD;2024;8449,582732
Base;Belarus;TAD;2025;8645,355226
Base;Belarus;TAD;2026;8918,368334
Base;Belarus;TAD;2027;9202,068415
Base;Belarus;TAD;2028;9536,495034
Base;Belarus;TAD;2029;9831,430936
Base;Belarus;O;2023;14593,74448
Base;Belarus;O;2024;13913,99757
Base;Belarus;O;2025;13989,07101
Base;Belarus;O;2026;14084,85206
Base;Belarus;O;2027;14187,49813
Base;Belarus;O;2028;14298,3521
Base;Belarus;O;2029;14390,34088
Base;Belarus;TO;2023;14593,74448
Base;Belarus;TO;2024;13913,99757
Base;Belarus;TO;2025;13989,07101
Base;Belarus;TO;2026;14084,85206
Base;Belarus;TO;2027;14187,49813
Base;Belarus;TO;2028;14298,3521
Base;Belarus;TO;2029;14390,34088
Base;Belarus;T;2023;22259,82211
Base;Belarus;T;2024;22379,58155
Base;Belarus;T;2025;22650,36353
Base;Belarus;T;2026;23019,09529
Base;Belarus;T;2027;23405,36657
Base;Belarus;T;2028;23850,58066
Base;Belarus;T;2029;24237,416
Base;Belgium/Luxembourg;I;2010;8352
Base;Belgium/Luxembourg;I;2011;9283
Base;Belgium/Luxembourg;I;2012;7477
Base;Belgium/Luxembourg;I;2013;7424
Base;Belgium/Luxembourg;I;2014;7567
Base;Belgium/Luxembourg;I;2015;6790
Base;Belgium/Luxembourg;I;2016;5882
Base;Belgium/Luxembourg;I;2017;5278
Base;Belgium/Luxembourg;I;2018;5242
Base;Belgium/Luxembourg;I;2019;5138
Base;Belgium/Luxembourg;I;2020;4309
Base;Belgium/Luxembourg;I;2021;6506
Base;Belgium/Luxembourg;I;2022;5926
Base;Belgium/Luxembourg;I;2023;5314,469097
Base;Belgium/Luxembourg;I;2024;5192,917142
Base;Belgium/Luxembourg;I;2025;5293,144172
Base;Belgium/Luxembourg;I;2026;5327,304003
Base;Belgium/Luxembourg;I;2027;5353,770697
Base;Belgium/Luxembourg;I;2028;5369,639458
Base;Belgium/Luxembourg;I;2029;5373,917156
Base;Belgium/Luxembourg;TI;2010;8352
Base;Belgium/Luxembourg;TI;2011;9283
Base;Belgium/Luxembourg;TI;2012;7477
Base;Belgium/Luxembourg;TI;2013;7424
