Rank,TZ,DAIO,Yr,mvts
Base,Armenia,O,2029,56916.91271
Base,Armenia,TO,2005,26702
Base,Armenia,TO,2006,27607
Base,Armenia,TO,2007,30780
Base,Armenia,TO,2008,33409
Base,Armenia,TO,2009,29382
Base,Armenia,TO,2010,31357
Base,Armenia,TO,2011,35881
Base,Armenia,TO,2012,34301
Base,Armenia,TO,2013,33564
Base,Armenia,TO,2014,28814
Base,Armenia,TO,2015,23272
Base,Armenia,TO,2016,20258
Base,Armenia,TO,2017,32220
Base,Armenia,TO,2018,43651
Base,Armenia,TO,2019,40353
Base,Armenia,TO,2020,10878
Base,Armenia,TO,2021,13786
Base,Armenia,TO,2022,43743
Base,Armenia,TO,2023,41505.52313
Base,Armenia,TO,2024,49220.52798
Base,Armenia,TO,2025,50702.13627
Base,Armenia,TO,2026,52220.77149
Base,Armenia,TO,2027,53760.32389
Base,Armenia,TO,2028,55462.65006
Base,Armenia,TO,2029,56916.91271
Base,Armenia,T,2005,30806
Base,Armenia,T,2006,32920
Base,Armenia,T,2007,48010
Base,Armenia,T,2008,51870
Base,Armenia,T,2009,48390
Base,Armenia,T,2010,52874
Base,Armenia,T,2011,57164
Base,Armenia,T,2012,56010
Base,Armenia,T,2013,52302
Base,Armenia,T,2014,50531
Base,Armenia,T,2015,42182
Base,Armenia,T,2016,38978
Base,Armenia,T,2017,54529
Base,Armenia,T,2018,67849
Base,Armenia,T,2019,66935
Base,Armenia,T,2020,20641
Base,Armenia,T,2021,34479
Base,Armenia,T,2022,78927
Base,Armenia,T,2023,84011.66477
Base,Armenia,T,2024,92516.09426
Base,Armenia,T,2025,96031.24559
Base,Armenia,T,2026,99649.47246
Base,Armenia,T,2027,103217.8395
Base,Armenia,T,2028,106897.0372
Base,Armenia,T,2029,109798.4776
Base,Austria,I,2005,28446
Base,Austria,I,2006,28325
Base,Austria,I,2007,29743
Base,Austria,I,2008,30160
Base,Austria,I,2009,28757
Base,Austria,I,2010,28254
Base,Austria,I,2011,23738
Base,Austria,I,2012,23697
Base,Austria,I,2013,22757
Base,Austria,I,2014,21184
Base,Austria,I,2015,19168
Base,Austria,I,2016,17576
Base,Austria,I,2017,17766
Base,Austria,I,2018,17149
Base,Austria,I,2019,16594
Base,Austria,I,2020,9807
Base,Austria,I,2021,10509
Base,Austria,I,2022,11218
Base,Austria,I,2023,12009.71755
Base,Austria,I,2024,12167.69771
Base,Austria,I,2025,12390.95501
Base,Austria,I,2026,12439.59385
Base,Austria,I,2027,12479.50923
Base,Austria,I,2028,12634.31769
Base,Austria,I,2029,12717.55735
Base,Austria,TI,2005,28446
Base,Austria,TI,2006,28325
Base,Austria,TI,2007,29743
Base,Austria,TI,2008,30160
Base,Austria,TI,2009,28757
Base,Austria,TI,2010,28254
Base,Austria,TI,2011,23738
Base,Austria,TI,2012,23697
Base,Austria,TI,2013,22757
Base,Austria,TI,2014,21184
Base,Austria,TI,2015,19168
Base,Austria,TI,2016,17576
Base,Austria,TI,2017,17766
Base,Austria,TI,2018,17149
Base,Austria,TI,2019,16594
Base,Austria,TI,2020,9807
Base,Austria,TI,2021,10509
Base,Austria,TI,2022,11218
Base,Austria,TI,2023,12009.71755
Base,Austria,TI,2024,12167.69771
Base,Austria,TI,2025,12390.95501
Base,Austria,TI,2026,12439.59385
Base,Austria,TI,2027,12479.50923
Base,Austria,TI,2028,12634.31769
Base,Austria,TI,2029,12717.55735
Base,Austria,AD,2005,308944
Base,Austria,AD,2006,313684
Base,Austria,AD,2007,337470
Base,Austria,AD,2008,352659
Base,Austria,AD,2009,316586
Base,Austria,AD,2010,321327
Base,Austria,AD,2011,323037
Base,Austria,AD,2012,312087
Base,Austria,AD,2013,296766
Base,Austria,AD,2014,298960
Base,Austria,AD,2015,297098
Base,Austria,AD,2016,294885
Base,Austria,AD,2017,295247
Base,Austria,AD,2018,312867
Base,Austria,AD,2019,338108
Base,Austria,AD,2020,137840
