country,scenario,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
FAB CE,Low,,,,,"2,309","2,456","2,474","2,472","2,464","2,469","2,462"
FABEC,High,,,,,"5,936","6,393","6,611","6,805","6,982","7,132","7,239"
FABEC,Base,"6,298","2,719","3,276","5,278","5,853","6,242","6,385","6,481","6,559","6,641","6,688"
FABEC,Low,,,,,"5,768","6,061","6,105","6,101","6,083","6,090","6,067"
NEFAB,High,,,,,929,"1,010","1,038","1,066","1,092","1,115","1,132"
NEFAB,Base,"1,082",558,622,836,915,986,997,"1,006","1,013","1,022","1,025"
NEFAB,Low,,,,,901,958,952,945,937,933,924
South West FAB,High,,,,,"2,278","2,413","2,542","2,664","2,775","2,859","2,916"
South West FAB,Base,"2,221",885,"1,234","2,049","2,245","2,351","2,429","2,496","2,553","2,605","2,637"
South West FAB,Low,,,,,"2,211","2,280","2,304","2,315","2,319","2,334","2,329"
UK-Ireland FAB,High,,,,,"2,514","2,663","2,744","2,816","2,881","2,938","2,980"
UK-Ireland FAB,Base,"2,621","1,045","1,082","2,175","2,482","2,613","2,661","2,698","2,728","2,759","2,780"
UK-Ireland FAB,Low,,,,,"2,449","2,552","2,564","2,567","2,563","2,569","2,564"
